,source,url,title,timestamp,label
36,kompas,http://www.kompas.com/global/read/2022/09/18/090600470/zelensky-tidak-merasa-perang-rusia-ukraina-segera-berakhir,Zelensky Tidak Merasa Perang Rusia-Ukraina Segera Berakhir,"18/09/2022, 09:06 WIB",perang
37,kompas,http://www.kompas.com/global/read/2022/09/26/151500770/penembakan-terjadi-di-pusat-mobilisasi-parsial-rusia-petugas-kritis,"Penembakan Terjadi di Pusat Mobilisasi Parsial Rusia, Petugas Kritis","26/09/2022, 15:15 WIB",perang
38,detik,https://finance.detik.com/industri/d-5623862/diskon-harga-gas-industri-dinilai-mampu-dongkrak-utilisasi--ekspor,Diskon Harga Gas Industri Dinilai Mampu Dongkrak Utilisasi & Ekspor,29 Jun 2021 09:42 WIB,industri
39,cnn,https://www.cnnindonesia.com/nasional/20221010171237-32-858694/mkd-dpr-minta-hillary-lasut-setop-masalah-hukum-dengan-mamat-alkatiri,MKD DPR Minta Hillary Lasut Setop Masalah Hukum dengan Mamat Alkatiri,2022-10-20 12:24:27,pemerintahan
40,cnn,https://www.cnnindonesia.com/ekonomi/20210520125622-92-644699/negara-tanggung-biaya-sertifikasi-tkdn-untuk-usaha-wong-cilik,Negara Tanggung Biaya Sertifikasi TKDN untuk Usaha Wong Cilik,2022-10-20 12:35:40,industri
41,kompas,http://www.kompas.com/hype/read/2022/08/05/092816966/fakta-meninggalnya-eddy-gombloh-dan-kiprah-di-industri-film,Fakta Meninggalnya Eddy Gombloh dan Kiprah di Industri Film ,"05/08/2022, 09:28 WIB",industri
42,detik,https://www.detik.com/edu/detikpedia/d-5973728/usulan-tunda-pemilu-pakar-politik-ugm-kepercayaan-warga-bisa-hilang,"Usulan Tunda Pemilu, Pakar Politik UGM: Kepercayaan Warga Bisa Hilang",08 Mar 2022 16:00 WIB,pemerintahan
43,detik,https://news.detik.com/detiktv/d-6018504/boris-johnson-rakyat-rusia-layak-dapat-fakta-kekejaman-militernya,Boris Johnson: Rakyat Rusia Layak Dapat Fakta Kekejaman Militernya,06 Apr 2022 08:29 WIB,perang
44,kompas,http://money.kompas.com/read/2022/09/23/203802626/pemerintah-incar-penerimaan-pajak-dari-sektor-ekonomi-digital,Pemerintah Incar Penerimaan Pajak dari Sektor Ekonomi Digital,"23/09/2022, 20:38 WIB",pemerintahan
45,cnbc,https://www.cnbcindonesia.com/news/20221019133409-4-380921/syarat-kebal-resesi-orang-ri-jangan-sampai-berhenti-jajan,Syarat Kebal Resesi: Orang RI Jangan Sampai Berhenti Jajan,17-20-2022 00:00:00,pemerintahan
46,cnn,https://www.cnnindonesia.com/ekonomi/20200723184642-92-528310/285-ribu-meter-persegi-properti-ritel-masuk-jakarta,285 Ribu Meter Persegi Properti Ritel Masuk Jakarta,2022-10-20 12:33:35,properti
47,kompas,http://www.kompas.com/global/read/2022/09/03/123951670/perang-energi-rusia-vs-barat-eropa-terancam-krisis-energi,"Perang Energi Rusia Vs Barat, Eropa Terancam Krisis Energi","03/09/2022, 12:39 WIB",perang
48,kompas,http://www.kompas.com/global/read/2022/09/14/163100470/bentrokan-kembali-pecah-armenia-dan-azerbaijan-saling-tuduh,"Bentrokan Kembali Pecah, Armenia dan Azerbaijan Saling Tuduh","14/09/2022, 16:31 WIB",perang
49,kompas,http://nasional.kompas.com/read/2022/09/12/12115031/kemenkumhan-sahkan-ppp-mardiono-suharso-nanti-saya-selesaikan-baik-baik,"Kemenkumhan Sahkan PPP Mardiono, Suharso: Nanti Saya Selesaikan Baik-baik ","12/09/2022, 12:11 WIB",pemerintahan
50,cnbc,https://www.cnbcindonesia.com/news/20220927094730-4-375214/3-profesi-ini-lolos-dari-perintah-perang-putin-apa-saja,"3 Profesi Ini Lolos dari Perintah Perang Putin, Apa Saja?",16-20-2022 00:00:00,perang
51,kompas,http://otomotif.kompas.com/read/2022/07/16/104200015/mitos-atau-fakta-mesin-bensin-direct-injection-bebas-ngelitik-,"Mitos atau Fakta, Mesin Bensin Direct Injection Bebas Ngelitik?","16/07/2022, 10:42 WIB",teknologi
52,cnbc,https://www.cnbcindonesia.com/news/20221019144559-7-380935/intip-sangarnya-latihan-perang-as-korsel-yang-dikutuk-korut,"Intip ""Sangarnya"" Latihan Perang AS-Korsel yang Dikutuk Korut",18-20-2022 00:00:00,perang
53,cnbc,https://www.cnbcindonesia.com/news/20221018003017-7-380426/jet-tempur-rusia-jatuh-tabrak-apartemen,"Jet Tempur Rusia Jatuh, Tabrak Apartemen",17-20-2022 00:00:00,perang
54,cnbc,https://www.cnbcindonesia.com/news/20220927113707-4-375255/as-rusia-rusuh-soal-nuklir-pemerintah-ri-angkat-bicara,"AS-Rusia 'Rusuh' soal Nuklir, Pemerintah RI Angkat Bicara",16-20-2022 00:00:00,perang
55,cnbc,https://www.cnbcindonesia.com/market/20221011214936-17-378984/ini-8-bursa-saham-kebal-resesi-nomor-6-bikin-kaget,"Ini 8 Bursa Saham Kebal Resesi, Nomor 6 Bikin Kaget!",18-20-2022 00:00:00,perang
56,detik,https://news.detik.com/berita/d-6134824/kemenkeu-belum-bikin-rencana-anggaran-pemilu-2024-rp-766-t-dimulai-2023,"Kemenkeu Belum Bikin Rencana Anggaran Pemilu 2024 Rp 76,6 T: Dimulai 2023",19 Jun 2022 05:30 WIB,pemerintahan
57,detik,https://inet.detik.com/detiktv/d-6136228/canggih-kulit-elektronik-robot-ini-bisa-merasakan-sakit,Canggih! Kulit Elektronik Robot Ini Bisa Merasakan Sakit,20 Jun 2022 10:29 WIB,teknologi
58,cnn,https://www.cnnindonesia.com/nasional/20221006190644-32-857352/mundur-dari-gerindra-m-taufik-belum-gabung-nasdem,"Mundur dari Gerindra, M Taufik Belum Gabung NasDem",2022-10-20 12:24:24,pemerintahan
59,detik,https://finance.detik.com/properti/d-5810873/orang-indonesia-bikin-jalur-sutra-properti-digital-buat-apa-tuh,"Orang Indonesia Bikin Jalur Sutra Properti Digital, Buat Apa Tuh?",14 Nov 2021 13:21 WIB,properti
60,cnn,https://www.cnnindonesia.com/ekonomi/20220727131627-92-826817/jll-nilai-properti-dki-masih-diminati-meski-ibu-kota-bakal-pindah,JLL Nilai Properti DKI Masih Diminati Meski Ibu Kota Bakal Pindah,2022-10-20 12:33:53,properti
61,cnbc,https://www.cnbcindonesia.com/news/20220928063229-4-375478/sri-mulyani-luhut-buka-suara-benarkah-dunia-resesi-2023,Sri Mulyani & Luhut Buka Suara! Benarkah Dunia Resesi 2023?,16-20-2022 00:00:00,perang
62,kompas,http://www.kompas.com/properti/read/2022/08/15/093000921/-populer-properti-6-seksi-tol-yogyakarta-bawen-tuntas-2024-ini,"[POPULER PROPERTI] 6 Seksi Tol Yogyakarta-Bawen Tuntas 2024, Ini Daftarnya","15/08/2022, 09:30 WIB",properti
63,cnn,https://www.cnnindonesia.com/teknologi/20170803014556-199-232071/teknologi-mikro-satelit-mampu-bantu-berantas-illegal-fishing,Teknologi Mikro Satelit Mampu Bantu Berantas Illegal Fishing,2022-10-20 12:37:12,teknologi
64,kompas,http://www.kompas.com/global/read/2022/10/05/210000470/putin-resmi-caplok-15-persen-wilayah-ukraina-22-persen-ditambah-crimea,"Putin Resmi Caplok 15 Persen Wilayah Ukraina, 22 Persen Ditambah Crimea","05/10/2022, 21:00 WIB",perang
65,cnbc,https://www.cnbcindonesia.com/news/20221013175437-4-379582/pajak-karbon-ditunda-sampai-2025,Pajak Karbon Ditunda Sampai 2025,13-20-2022 00:00:00,industri
66,detik,https://finance.detik.com/berita-ekonomi-bisnis/d-5407369/lpem-ui-1-pertumbuhan-pertanian-berdampak-pada-136-industri,"LPEM UI: 1% Pertumbuhan Pertanian Berdampak Pada 1,36% Industri",23 Feb 2021 14:14 WIB,industri
67,cnbc,https://www.cnbcindonesia.com/market/20221003184749-17-376921/bangun-tol-sumatera-hutama-karya-gencarkan-kpbu,"Bangun Tol Sumatera, Hutama Karya Gencarkan KPBU",17-20-2022 00:00:00,properti
68,kompas,http://regional.kompas.com/read/2022/08/16/182328578/warga-tagih-janji-pemerintah-bereskan-industri-stockpile-batu-bara-di-candi,Warga Tagih Janji Pemerintah Bereskan Industri Stockpile Batu Bara di Candi Muaro Jambi,"16/08/2022, 18:23 WIB",industri
69,cnbc,https://www.cnbcindonesia.com/tech/20221018165358-37-380692/daftar-startup-indonesia-yang-lakukan-phk-hingga-bangkrut,Daftar Startup Indonesia yang Lakukan PHK Hingga Bangkrut,18-20-2022 00:00:00,industri
70,cnbc,https://www.cnbcindonesia.com/news/20221019110218-4-380845/simak-ini-dia-alasan-di-balik-perjanjian-ptba-pln-soal-pltu,"Simak, Ini Dia Alasan di Balik Perjanjian PTBA-PLN Soal PLTU",18-20-2022 00:00:00,pemerintahan
71,cnn,https://www.cnnindonesia.com/ekonomi/20201119145505-92-571911/sentul-city-digugat-pkpu-oleh-pembeli,Sentul City Digugat PKPU oleh Pembeli,2022-10-20 12:33:41,properti
72,detik,https://news.detik.com/berita/d-6174234/keppel-land-dapat-penghargaan-di-asia-pacific-property-awards,Keppel Land Dapat Penghargaan di Asia Pacific Property Awards,11 Jul 2022 20:30 WIB,properti
73,detik,https://finance.detik.com/berita-ekonomi-bisnis/d-6295738/digitalisasi-di-sektor-pendidikan-bakal-makin-luas-ini-buktinya,"Digitalisasi di Sektor Pendidikan Bakal Makin Luas, Ini Buktinya",16 Sep 2022 13:37 WIB,teknologi
74,cnbc,https://www.cnbcindonesia.com/market/20220921111420-17-373812/surprise-orang-paling-tajir-di-singapura-berdarah-indonesia,Surprise! Orang Paling Tajir di Singapura Berdarah Indonesia,15-20-2022 00:00:00,properti
75,cnbc,https://www.cnbcindonesia.com/market/20221018163057-17-380676/sah-btn-terbitkan-saham-baru-senilai-rp-413-triliun,"Sah! BTN Terbitkan Saham Baru Senilai Rp 4,13 Triliun",18-20-2022 00:00:00,industri
76,cnbc,https://www.cnbcindonesia.com/market/20221014152517-19-379823/racikan-investasi-ciptadana-am-saat-resesi-mendekat,Racikan Investasi Ciptadana AM Saat Resesi Mendekat,14-20-2022 00:00:00,industri
77,kompas,http://www.kompas.com/global/read/2022/09/25/103000370/zelensky-tawarkan-jaminan-bagi-tentara-rusia-yang-menyerah,Zelensky Tawarkan Jaminan bagi Tentara Rusia yang Menyerah,"25/09/2022, 10:30 WIB",perang
78,detik,https://finance.detik.com/industri/d-5735333/kemenperin-ungkap-tantangan-di-industri-mamin-seperti-apa,"Kemenperin Ungkap Tantangan di Industri Mamin, Seperti Apa?",22 Sep 2021 10:02 WIB,industri
79,kompas,http://bandung.kompas.com/read/2022/08/24/213555878/tari-merak-gerakan-pola-lantai-properti-iringan-dan-maknanya,"Tari Merak: Gerakan, Pola Lantai, Properti, Iringan, dan Maknanya","24/08/2022, 21:35 WIB",properti
80,detik,https://news.detik.com/kolom/d-4822568/menjawab-teka-teki-gaya-hidup-di-tengah-overdosis-intelek,"Menjawab Teka-Teki Gaya Hidup di Tengah ""Overdosis"" Intelek",14 Des 2019 11:40 WIB,perang
81,kompas,http://www.kompas.com/homey/read/2022/07/24/075300276/6-kekurangan-tinggal-di-rumah-besar-yang-perlu-dipertimbangkan,6 Kekurangan Tinggal di Rumah Besar yang Perlu Dipertimbangkan,"24/07/2022, 07:53 WIB",properti
82,cnbc,https://www.cnbcindonesia.com/market/20221018084116-17-380472/ekonomi-china-dalam-kegelapan-rupiah-malah-menguat,"Ekonomi China Dalam 'Kegelapan', Rupiah Malah Menguat",17-20-2022 00:00:00,pemerintahan
83,kompas,http://www.kompas.com/properti/read/2022/09/09/092121221/pengembang-wilayah-sumatera-desak-pemerintah-naikkan-harga-rumah,Pengembang Wilayah Sumatera Desak Pemerintah Naikkan Harga Rumah Subsidi,"09/09/2022, 09:21 WIB",pemerintahan
84,cnbc,https://www.cnbcindonesia.com/lifestyle/20220926153138-33-375073/jadi-permaisuri-kenapa-camilla-ogah-tinggal-di-istana,"Jadi Permaisuri, Kenapa Camilla Ogah Tinggal di Istana?",16-20-2022 00:00:00,properti
85,cnbc,https://www.cnbcindonesia.com/market/20220909132254-17-370747/pertumbuhan-6-lewat-bca-revisi-target-kredit-lompat-10,"Pertumbuhan 6% Lewat, BCA Revisi Target Kredit Lompat 10%",18-20-2022 00:00:00,properti
86,cnn,https://www.cnnindonesia.com/ekonomi/20191219101123-532-458281/pemerintah-ajak-pengusaha-kelola-aset-properti-negara,Pemerintah Ajak Pengusaha Kelola Aset Properti Negara,2022-10-20 12:33:44,properti
87,cnn,https://www.cnnindonesia.com/nasional/20221009154224-32-858236/anies-di-acara-syarikat-islam-saya-pamit-akan-teruskan-perjalanan,"Anies di Acara Syarikat Islam: Saya Pamit, Akan Teruskan Perjalanan",2022-10-20 12:24:26,pemerintahan
88,detik,https://www.detik.com/edu/detikpedia/d-6286407/begini-mekanisme-pembagian-kekuasaan-yang-dilaksanakan-di-indonesia,Begini Mekanisme Pembagian Kekuasaan yang Dilaksanakan di Indonesia,12 Sep 2022 11:30 WIB,pemerintahan
89,cnn,https://www.cnnindonesia.com/ekonomi/20181115123730-78-346762/sri-mulyani-minta-perbankan-melek-teknologi-biar-tak-punah,Sri Mulyani Minta Perbankan Melek Teknologi Biar Tak Punah,2022-10-20 12:37:03,teknologi
90,kompas,http://edukasi.kompas.com/read/2022/07/27/122313171/mahasiswa-ini-7-profesi-lain-di-industri-animasi-selain-jadi-animator,"Mahasiswa, Ini 7 Profesi Lain di Industri Animasi Selain Jadi Animator","27/07/2022, 12:23 WIB",industri
91,detik,https://www.detik.com/edu/sekolah/d-5350258/penelitian-pspk--anak-dari-keluarga-miskin-sulit-akses-sekolah-berkualitas,Penelitian PSPK : Anak dari Keluarga Miskin Sulit Akses Sekolah Berkualitas,27 Jan 2021 11:31 WIB,pemerintahan
92,cnn,https://www.cnnindonesia.com/nasional/20221007141902-32-857648/luhut-senang-jadi-bagian-mengatur-negeri-jadi-kepuasan-tersendiri,Luhut Senang Jadi Bagian Mengatur Negeri: Jadi Kepuasan Tersendiri,2022-10-20 12:24:24,pemerintahan
93,kompas,http://surabaya.kompas.com/read/2022/08/11/172833278/pemkab-penajam-paser-utara-siapkan-12000-hektar-kawasan-industri-di-ikn,Pemkab Penajam Paser Utara Siapkan 12.000 Hektar Kawasan Industri di IKN,"11/08/2022, 17:28 WIB",industri
94,cnbc,https://www.cnbcindonesia.com/mymoney/20221020061023-72-381095/dear-honorer-bkn-bawa-kabar-gak-enak-nih,"Dear Honorer, BKN Bawa Kabar Gak Enak Nih!",14-20-2022 00:00:00,pemerintahan
95,cnn,https://www.cnnindonesia.com/teknologi/20220819081202-199-836339/youtuber-as-ciptakan-kaki-untuk-ular-karena-kasihan,Youtuber AS Ciptakan Kaki untuk Ular Karena Kasihan,2022-10-20 12:37:21,teknologi
96,cnbc,https://www.cnbcindonesia.com/market/20220929143356-19-375963/suku-bunga-tinggi-inflasi-begini-nasib-pengembang-properti,"Suku Bunga Tinggi & Inflasi, Begini Nasib Pengembang Properti",17-20-2022 00:00:00,properti
97,cnn,https://www.cnnindonesia.com/nasional/20221012111403-32-859439/walkot-bogor-bima-arya-tolak-pilkada-lewat-dprd-itu-langkah-mundur,Walkot Bogor Bima Arya Tolak Pilkada Lewat DPRD: Itu Langkah Mundur,2022-10-20 12:24:24,pemerintahan
98,cnbc,https://www.cnbcindonesia.com/market/20220912143133-17-371363/adhi-karya-incar-rp-35-t-dari-proyek-ikn,"Adhi Karya Incar Rp 3,5 T dari Proyek IKN",18-20-2022 00:00:00,properti
99,cnn,https://www.cnnindonesia.com/ekonomi/20200611112629-92-512148/menperin-ungkap-daftar-stimulus-tambahan-industri-saat-corona,Menperin Ungkap Daftar Stimulus Tambahan Industri saat Corona,2022-10-20 12:35:35,industri
100,detik,https://inet.detik.com/cyberlife/d-5873060/usia-baru-26-tahun-titisan-elon-musk-ini-duitnya-rp-25-triliun,"Usia Baru 26 Tahun, Titisan Elon Musk Ini Duitnya Rp 25 Triliun",27 Des 2021 21:30 WIB,teknologi
101,kompas,http://money.kompas.com/read/2022/09/09/123700226/pemerintah-sudah-kantongi-rp-82-triliun-dari-pajak-digital,"Pemerintah Sudah Kantongi Rp 8,2 Triliun dari Pajak Digital","09/09/2022, 12:37 WIB",pemerintahan
102,cnbc,https://www.cnbcindonesia.com/news/20221005200650-4-377539/resesi-global-makin-nyata-ini-5-tanda-tandanya,"Resesi Global Makin Nyata, Ini 5 Tanda-Tandanya",17-20-2022 00:00:00,properti
103,kompas,http://nasional.kompas.com/read/2022/09/10/17504621/kepemimpinan-ppp-mardiono-diakui-pemerintah-arsul-sani-tidak-ada-pengurus,"Kepemimpinan PPP Mardiono Diakui Pemerintah, Arsul Sani: Tidak Ada Pengurus Harian yang Menentang","10/09/2022, 17:50 WIB",pemerintahan
104,cnn,https://www.cnnindonesia.com/ekonomi/20210215123409-92-606331/anak-buah-sukanto-tanoto-jawab-soal-beli-istana-jerman-rp6-t,Anak Buah Sukanto Tanoto Jawab soal Beli Istana Jerman Rp6 T,2022-10-20 12:33:36,properti
105,detik,https://finance.detik.com/properti/d-6228306/jakarta-mulai-macet-lagi-tod-bisa-jadi-solusi,"Jakarta Mulai Macet Lagi, TOD Bisa Jadi Solusi?",11 Agu 2022 06:49 WIB,properti
106,cnbc,https://www.cnbcindonesia.com/lifestyle/20221012143239-33-379191/elon-musk-tiba-tiba-luncurkan-parfum-segini-harganya,"Elon Musk Tiba-tiba Luncurkan Parfum, Segini Harganya",18-20-2022 00:00:00,teknologi
107,kompas,http://www.kompas.com/hype/read/2022/07/07/100533166/hengkang-dari-p-nation-jessi-pastikan-tak-pensiun-dari-industri-hiburan,"Hengkang dari P NATION, Jessi Pastikan Tak Pensiun dari Industri Hiburan ","07/07/2022, 10:05 WIB",industri
108,kompas,http://otomotif.kompas.com/read/2022/07/25/110200715/honda-mematenkan-teknologi-lane-keep-assist-sepeda-motor,Honda Mematenkan Teknologi Lane Keep Assist Sepeda Motor,"25/07/2022, 11:02 WIB",teknologi
109,cnbc,https://www.cnbcindonesia.com/news/20220928184208-4-375737/putin-petani-jadi-salah-satu-yang-direkrut-menjadi-militer,Putin: Petani Jadi Salah Satu yang Direkrut Menjadi Militer!,16-20-2022 00:00:00,perang
110,cnbc,https://www.cnbcindonesia.com/tech/20221014120419-37-379733/ada-nama-indonesia-di-deretan-investor-startup-teratas-dunia,Ada Nama Indonesia di Deretan Investor Startup Teratas Dunia,14-20-2022 00:00:00,industri
111,cnn,https://www.cnnindonesia.com/ekonomi/20210921173128-92-697442/konsultan-ramal-dki-masih-kebanjiran-pusat-perbelanjaan-baru,Konsultan Ramal DKI Masih Kebanjiran Pusat Perbelanjaan Baru,2022-10-20 12:33:48,properti
112,cnbc,https://www.cnbcindonesia.com/news/20220926152905-4-375032/kedubes-as-di-ri-buka-lowongan-kerja-segini-gajinya,"Kedubes AS di RI Buka Lowongan Kerja, Segini Gajinya..",16-20-2022 00:00:00,properti
113,cnn,https://www.cnnindonesia.com/nasional/20221011155741-32-859132/komisi-ii-dpr-tak-ada-pembahasan-isu-pilkada-lewat-dprd,Komisi II DPR: Tak Ada Pembahasan Isu Pilkada Lewat DPRD,2022-10-20 12:24:28,pemerintahan
